id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
67833,987,Halo 3,"After the events of the comic tie-in Halo: Uprising, the Master Chief crashes in eastern Africa, where he is found by Johnson and the Arbiter. The Chief, Johnson, and company fight Covenant in the jungle and arrive at a UNSC outpost. Here, Keyes and Lord Hood plan a final effort to stop the Covenant leader, the High Prophet of Truth, from activating a Forerunner artifact uncovered outside the ruins of the city of New Mombasa. The Chief clears anti-air Covenant defenses so Hood can lead the last of Earth's ships against the Prophet, but Truth activates the buried artifact, creating a slipspace portal which he and his followers enter. A Flood-infested ship crash-lands nearby; Elite forces arrive and vitrify Flood-infected areas of Earth, stopping the threat. Following a message Cortana left aboard the Flood ship, the Chief, Arbiter, Elites, Johnson, Keyes and their troops follow Truth through the portal. Joining them is 343 Guilty Spark, who aids the Chief as he has no function to fulfill after the destruction of his ringworld.
Traveling through the portal, the humans and Elites discover an immense artificial structure known as the Ark, far beyond the edges of the Milky Way galaxy. Here, Truth can remotely activate all the Halos. The Flood arrive aboard High Charity in full force, beginning to infest the installation. Truth captures Johnson, as he needs a human to use Forerunner technology. Keyes is killed attempting a rescue, and Johnson is forced to activate the rings. Gravemind forges a truce with the Chief and Arbiter to stop Truth. The Arbiter, Master Chief, and Flood forces arrive and overwhelm Truth's guards, rescuing Johnson and halting the installations' activation. After the Arbiter kills Truth, Gravemind turns on the Chief and Arbiter.
The Chief, Arbiter and Guilty Spark discover that the Ark is constructing another Halo to replace the one that the Chief previously destroyed. The Chief decides to activate this Halo; the ringworld would eliminate the Flood infestation on the Ark while sparing the galaxy at large from destruction. To activate the ring, the Chief rescues Cortana, who has the Activation Index of the destroyed Halo, from High Charity and destroys the city. Arriving on the new Halo, Cortana warns that Gravemind is trying to rebuild itself on the ring. The Chief, Arbiter, and Johnson travel to Halo's control room to activate the ring. Guilty Spark explains that because the ring is not yet complete, a premature activation will destroy it and the Ark. When Johnson ignores his warning, Guilty Spark fatally wounds him to protect ""his"" ring. The Chief destroys Guilty Spark, activates the ring, and escapes the ring's self-destruction on the UNSC frigate Forward Unto Dawn. However, the force of Halo's blast causes the slipspace portal to collapse, resulting in only the front half of Forward Unto Dawn, carrying the Arbiter, making it back to Earth.
A memorial service is held on Earth for the fallen heroes of the Human-Covenant war, during which the Arbiter and Lord Hood briefly exchange words regarding the fallen Master Chief. After the memorial service, the Arbiter and his Elite brethren depart for their home planet, Sanghelios. Meanwhile, the rear half of the Forward Unto Dawn drifts in unknown space. Cortana drops a distress beacon, but acknowledges it may be many years before they are rescued. The Chief enters cryonic sleep, telling Cortana to ""wake me, when you need me."" If the game is completed at the Legendary difficulty level, the scene continues to show the piece of Forward Unto Dawn drifting towards an unknown planet, revealed in the sequel to be known as ""Requiem"", the primary setting of the campaign of Halo 4.",2007-09-25 00:00:00.000,196,1,90.7500,6,86.0064,573
129170,141865,Halo 3 & Fable II Double Pack,NULL,2011-02-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
147034,163108,Halo 3 + Halo Wars,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185035,43955,Halo 3: Legendary Edition,NULL,2007-09-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
185046,45147,Halo 3: Limited Edition,NULL,2007-10-25 00:00:00.000,NULL,NULL,NULL,NULL,80.0142,5
24363,989,Halo 3: ODST,"Taking place in the Kenyan port city of New Mombasa, ODST follows a squad of elite Marine Orbital Drop Shock Troopers during the Covenant invasion of Earth on October 20, 2552. Knocked off course due to the Mombasa Slipspace Incident, these five ODSTs, accompanied by an ONI officer, fight through the waste-filled, destroyed streets in order to link up with each other, evade the Covenant, and execute a top secret mission.

The game occurs directly after the events of the Halo 2 level Metropolis, when the Prophet of Regret performs a slipspace jump in New Mombasa.",2009-09-22 00:00:00.000,74,NULL,77.6667,8,75.4796,270
24002,991,Halo 4,"Four years after the events of Halo 3, the Master Chief returns in this award-winning first-person shooter. Battle through the campaign and explore the Forerunner planet, Requiem, as the Chief faces off with an ancient evil. Test your skills against familiar Covenant foes and new Promethean enemies in solo mode or with up to three friends on split-screen. With Xbox Live Gold Membership, access the online multiplayer and Spartan Ops missions.",2012-11-06 00:00:00.000,131,NULL,87.5000,14,78.7080,404
150879,77343,Halo 4: King of the Hill Fueled by Mountain Dew,NULL,2012-10-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
150597,45148,Halo 4: Limited Edition,NULL,2012-11-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121261,24782,Halo 5: Forge,NULL,2016-09-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
193316,6803,Halo 5: Guardians,"When the UNSC can't track down their most valued asset (Spartan 117: The Master Chief), they send a highly trained ONI soldier (Agent Locke) to bring him back. Master Chief is in search for something very important and will allow nothing to stand in his way, while Agent Locke has vowed to uphold justice and hunt for the truth. As these two titans fight their way through Forerunner and Covenant forces, the fate of the universe hangs in the balance yet again.",2015-10-27 00:00:00.000,93,17,84.0526,22,75.4957,180
188269,75413,Halo 5: Guardians - Digital Deluxe Edition,NULL,2015-10-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
180068,45144,Halo 5: Guardians - Limited Collector's Edition,NULL,2015-10-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
170493,45145,Halo 5: Guardians - Limited Edition,NULL,2015-10-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22129,129018,Halo Beats!,NULL,2020-01-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24043,103281,Halo Infinite,NULL,2021-11-15 00:00:00.000,44,151,87.8889,11,84.8780,98
35393,171280,Halo Infinite: Steelbook Edition,NULL,2021-12-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
161006,225485,Halo Infinite: Winter Update,NULL,2022-11-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
175146,60459,Halo Online,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
2593,108485,Halo Roll,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27160,988,Halo Wars,NULL,2009-02-26 00:00:00.000,21,NULL,70.0000,7,74.3286,109
195666,11570,Halo Wars 2,NULL,2017-02-21 00:00:00.000,30,11,76.7368,25,75.3767,34
143072,84476,Halo Wars 2: Complete Edition,NULL,2017-09-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103216,27765,Halo Wars 2: Ultimate Edition,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
69538,26183,Halo Wars: Definitive Edition,"The Covenant has declared war on humanity, and Harvest is the first battleground. Set 21 years before the events of Halo: Combat Evolved, Halo Wars is an exciting real-time strategy game set in the legendary Halo universe. In this unique installment in the Halo franchise, players experience the epic battles that marked the beginning of the Covenant War. With the UNSC Spirit of Fire at their disposal, players fight in the intense and enormous conflicts that would define humanity's relentless heroism in its darkest hour.",2016-12-20 00:00:00.000,7,NULL,77.5000,2,77.0122,12
185019,43956,Halo Wars: Limited Edition,NULL,2009-04-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
185255,64606,Halo Zero,NULL,2005-12-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
155788,740,Halo: Combat Evolved,"After the fall of Reach, The Pillar of Autumn, the only surviving human ship, makes a random slip-space jump away from the planet, so as not to lead the Covenant to Earth. When the Autumn drops out of slip-space, they find themselves next to a large, artificial, ring-world. A Covenant fleet hiding behind the adjacent planet engages the Autumn, the biologically augmented super-soldier John 117, or the Master Chief, is taken out of cryostasis. He proceeds to the bridge while fighting hordes of boarding Covenant forces. The Master Chief retrieves the ship-board AI (Artificial Intelligence) Cortana from the Captain of the vessel, Captain Keyes. The Chief and Cortana board an escape craft and begin to drop towards the surface of the ring-world. The Chief is the only one in his escape pod to survive the impact, and sneaks away from the crash site. After gathering all the survivors from the Autumn, the Chief makes an attack run on a Covenant ship in order to save Captain Keyes. Keyes tells the Chief and Cortana that the Covenant call this world Halo. Cortana realizes that it has",2001-11-15 00:00:00.000,207,NULL,86.6667,4,83.9798,631
84855,2640,Halo: Combat Evolved Anniversary,"The game opens just following the events of Halo: Reach, as the Pillar of Autumn exits slipspace near a mysterious ring-shaped space station, called ""Halo"" by the enemy in the game, the Covenant. A Covenant fleet attacks and heavily damages the Pillar of Autumn. Captain Keyes initiates ""The Cole Protocol, ""a procedure which destroys all navigation data and is designed to prevent the Covenant from learning the location of Earth. Master Chief and Cortana fight their way to an escape pod, where they eject from the ship along with a group of Marines. As they fly away they can see Keyes attempting to crash land Pillar on Halo.

Master Chief and Cortana are the only survivors of their pod's crash landing, but they soon contact other survivors and help collect them into a fighting force. The survivors tell them that Keyes survived the Pillar of Autumn's crash landing, but has been captured by the Covenant and is being held aboard the Covenant ship Truth and Reconciliation. Master Chief and a force of Marines board the ship and rescue Keyes, who orders Master Chief to beat the Covenant to Halo's control center and to discover Halo's purpose. Master Chief and Cortana travel to a map room called the Silent Cartographer, which leads them to the control room. There, Cortana enters the systems and, discovering something urgent, suddenly sends Master Chief to find Captain Keyes while she stays behind. Keyes was searching for what he believed was a cache of powerful weapons, but when he reaches his position Master Chief finds only signs of a battle and a recording revealing they have accidentally released the Flood, a parasitic alien race capable of spreading itself by infesting other sentient life-forms.

The release of the Flood prompts Halo's AI monitor, 343 Guilty Spark, to recruit Master Chief in retrieving the Index, a device that will activate Halo and prevent the Flood from spreading beyond the facility. After Master Chief retrieves and prepares to use the Index, Cortana re-appears and warns him against the activation. She has discovered that Halo's defense system is a weapon designed to kill all sentient life in the galaxy, which will deny the host bodies the Flood requires to spread, a revelation which Guilty Spark confirms.

Faced with this information, Master Chief and Cortana decide to destroy Halo to prevent its activation. While fighting the Flood, the Covenant, and Guilty Spark's Sentinels, Cortana discovers that the best way to accomplish this is to cause the crashed Pillar of Autumn to self-destruct. However, Captain Keyes' authorization is required to destroy the Autumn, forcing the Chief and Cortana to return to the now-Flood-infested Truth and Reconciliation to search for him. By the time they reach Keyes, however, he has been infected beyond the point of no return by the Flood. Master Chief retrieves Keyes' neural implants directly from his brain and retreats to the Autumn, where Cortana activates the ship's self-destruct sequence. However, 343 Guilty Spark reappears and deactivates the countdown, discovering the record of human history in the process. Master Chief manually destabilizes the Pillar of Autumn's fusion reactors, and he and Cortana narrowly escape the destruction of the ring via a fighter. Cortana scans nearby space and finds that they are apparently the only survivors. Cortana justifies the sacrifices of the other humans on Halo, stating that they had no choice due to the threat posed by Halo, the Covenant and the Flood. Cortana believes it's over but the Master Chief tells her that they're just getting started.

In a brief post-credits scene, 343 Guilty Spark is seen fleeing Halo's destruction and into the unknown of deep space.",2011-11-15 00:00:00.000,61,NULL,80.0000,8,82.5961,143
77113,102066,Halo: Fireteam Raven,NULL,2018-07-25 00:00:00.000,NULL,NULL,73.0000,1,NULL,NULL
89380,165332,Halo: Out With a Whimper,"The game is set around the events of Halo 2 and Halo 3 on the human mining colony Atlas as it comes under siege by the Covenant, who are looking for something hidden beneath the planet's surface.",2010-09-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
194435,990,Halo: Reach,NULL,2010-09-14 00:00:00.000,140,NULL,89.0000,12,85.6524,451
185021,43954,Halo: Reach - Legendary Edition,NULL,2010-09-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
185050,45146,Halo: Reach Limited Edition,NULL,2010-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
1754,72766,Halo: Recruit,NULL,2017-10-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20653,4839,Halo: Spartan Assault,NULL,2013-07-18 00:00:00.000,11,NULL,66.0000,10,61.6328,41
189819,7849,Halo: Spartan Strike,NULL,2015-04-16 00:00:00.000,8,1,80.0000,1,68.5176,18
22736,7348,Halo: The Master Chief Collection,"Halo: The Master Chief Collection includes Halo 2: Anniversary, celebrating the 10 year anniversary of the iconic fan favorite. The campaign features a “Classic Mode” to instantly switch between the remastered next-gen graphics and original game, updated sound effects, and completely new cut-scenes created by Blur Studios. Discover new story elements with extended cut scenes, hidden terminal videos, and uncover clues about the story of Halo 5: Guardians. Utilize game-altering Skulls to experience the campaign in a whole new way. For multiplayer you have access to all of the original multiplayer maps from Halo 2 and Halo 2 Vista included, exactly as you remember them. Play on fan favorites including Ivory Tower, Ascension, and Lockout, plus 6 completely re-imagined maps that take full advantage of the capabilities of the Xbox One.*",2014-11-11 00:00:00.000,85,4,86.0000,17,86.3332,168
184412,41608,Halo: The Master Chief Collection - Limited Edition,NULL,2014-12-01 00:00:00.000,1,NULL,NULL,NULL,80.0922,5
182405,223244,Halod's adventure times,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123129,59773,Halos: React and Match Arcade Game,NULL,2015-08-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
118474,142442,House of Cathalon,NULL,2001-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
129507,26731,Mega Bloks Halo,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
50492,66803,Night of the Cephalopods,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55355,76172,Pixel Force: Halo,NULL,2011-01-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96355,36672,Shalom: Knightmare III,NULL,1987-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96906,155370,Sir Stretchalot,NULL,2021-01-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109239,216227,Sir Stretchalot: The Plight of the Elves,NULL,2022-09-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
163287,201162,Warframe: The Mad Cephalon,NULL,2014-07-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
